time, signal
0.000000,2.000000
0.016667,1.787165
0.033333,1.222564
0.050000,0.500002
0.066667,-0.139885
0.083333,-0.499999
0.100000,-0.500001
0.116667,-0.204491
0.133333,0.204486
0.150000,0.499999
0.166667,0.500002
0.183333,0.139891
0.200000,-0.499993
0.216667,-1.222555
0.233333,-1.787160
0.250000,-2.000000
0.266667,-1.787170
0.283333,-1.222572
0.300000,-0.500011
0.316667,0.139878
0.333333,0.499997
0.350000,0.500003
0.366667,0.204496
0.383333,-0.204481
0.400000,-0.499997
0.416667,-0.500004
0.433333,-0.139898
0.450000,0.499984
0.466667,1.222546
0.483333,1.787154
0.500000,2.000000
0.516667,1.787175
0.533333,1.222581
0.550000,0.500020
0.566667,-0.139871
0.583333,-0.499995
0.600000,-0.500005
0.616667,-0.204501
0.633333,0.204476
0.650000,0.499994
0.666667,0.500006
0.683333,0.139905
0.700000,-0.499974
0.716667,-1.222538
0.733333,-1.787149
0.750000,-2.000000
0.766667,-1.787181
0.783333,-1.222590
0.800000,-0.500029
0.816667,0.139865
0.833333,0.499992
0.850000,0.500007
0.866667,0.204506
0.883333,-0.204471
0.900000,-0.499992
0.916667,-0.500008
0.933333,-0.139911
0.950000,0.499965
0.966667,1.222529
0.983333,1.787144
1.000000,2.000000
1.016667,1.787186
1.033333,1.222598
1.050000,0.500038
1.066667,-0.139858
1.083333,-0.499990
1.100000,-0.500009
1.116667,-0.204511
1.133333,0.204466
1.150000,0.499990
1.166667,0.500011
1.183333,0.139918
1.200000,-0.499956
1.216667,-1.222520
1.233333,-1.787139
1.250000,-2.000000
1.266667,-1.787191
1.283333,-1.222607
1.300000,-0.500047
1.316667,0.139851
1.333333,0.499988
1.350000,0.500012
1.366667,0.204515
1.383333,-0.204461
1.400000,-0.499988
1.416667,-0.500013
1.433333,-0.139925
1.450000,0.499947
1.466667,1.222512
1.483333,1.787134
1.500000,2.000000
1.516667,1.787196
1.533333,1.222616
1.550000,0.500057
1.566667,-0.139845
1.583333,-0.499985
1.600000,-0.500014
1.616667,-0.204520
1.633333,0.204456
1.650000,0.499986
1.666667,0.500015
1.683333,0.139931
1.700000,-0.499938
1.716667,-1.222503
1.733333,-1.787128
1.750000,-2.000000
1.766667,-1.787202
1.783333,-1.222624
1.800000,-0.500066
1.816667,0.139838
1.833333,0.499983
1.850000,0.500016
1.866667,0.204525
1.883333,-0.204451
1.900000,-0.499984
1.916667,-0.500018
1.933333,-0.139938
1.950000,0.499929
1.966667,1.222494
1.983333,1.787123
2.000000,2.000000
2.016667,1.787207
2.033333,1.222633
2.050000,0.500075
2.066667,-0.139831
2.083333,-0.499981
2.100000,-0.500018
2.116667,-0.204530
2.133333,0.204446
2.150000,0.499981
2.166667,0.500020
2.183333,0.139944
2.200000,-0.499920
2.216667,-1.222486
2.233333,-1.787118
2.250000,-2.000000
2.266667,-1.787212
2.283333,-1.222641
2.300000,-0.500084
2.316667,0.139825
2.333333,0.499979
2.350000,0.500020
2.366667,0.204535
2.383333,-0.204442
2.400000,-0.499979
2.416667,-0.500022
2.433333,-0.139951
2.450000,0.499911
2.466667,1.222477
2.483333,1.787113
2.500000,2.000000
2.516667,1.787217
2.533333,1.222650
2.550000,0.500093
2.566667,-0.139818
2.583333,-0.499976
2.600000,-0.500022
2.616667,-0.204540
2.633333,0.204437
2.650000,0.499977
2.666667,0.500025
2.683333,0.139958
2.700000,-0.499901
2.716667,-1.222468
2.733333,-1.787107
2.750000,-2.000000
2.766667,-1.787222
2.783333,-1.222659
2.800000,-0.500102
2.816667,0.139811
2.833333,0.499974
2.850000,0.500025
2.866667,0.204545
2.883333,-0.204432
2.900000,-0.499975
2.916667,-0.500027
2.933333,-0.139964
2.950000,0.499892
2.966667,1.222460
2.983333,1.787102
3.000000,2.000000
3.016667,1.787228
3.033333,1.222667
3.050000,0.500111
3.066667,-0.139805
3.083333,-0.499972
3.100000,-0.500027
3.116667,-0.204550
3.133333,0.204427
3.150000,0.499973
3.166667,0.500029
3.183333,0.139971
3.200000,-0.499883
3.216667,-1.222451
3.233333,-1.787097
3.250000,-2.000000
3.266667,-1.787233
3.283333,-1.222676
3.300000,-0.500121
3.316667,0.139798
3.333333,0.499969
3.350000,0.500029
3.366667,0.204555
3.383333,-0.204422
3.400000,-0.499971
3.416667,-0.500031
3.433333,-0.139978
3.450000,0.499874
3.466667,1.222442
3.483333,1.787092
3.500000,2.000000
3.516667,1.787238
3.533333,1.222685
3.550000,0.500130
3.566667,-0.139791
3.583333,-0.499967
3.600000,-0.500031
3.616667,-0.204560
3.633333,0.204417
3.650000,0.499969
3.666667,0.500034
3.683333,0.139984
3.700000,-0.499865
3.716667,-1.222434
3.733333,-1.787086
3.750000,-2.000000
3.766667,-1.787243
3.783333,-1.222693
3.800000,-0.500139
3.816667,0.139785
3.833333,0.499965
3.850000,0.500033
3.866667,0.204565
3.883333,-0.204412
3.900000,-0.499966
3.916667,-0.500036
3.933333,-0.139991
3.950000,0.499856
3.966667,1.222425
3.983333,1.787081
4.000000,2.000000
4.016667,1.787249
4.033333,1.222702
4.050000,0.500148
4.066667,-0.139778
4.083333,-0.499962
4.100000,-0.500035
4.116667,-0.204570
4.133333,0.204407
4.150000,0.499964
