time, signal
9.485708e-02,0.000000e+00
1.002885e-01,4.000000e-02
1.183568e-01,8.000000e-02
1.556812e-01,1.200000e-01
2.294745e-01,1.600000e-01
3.882803e-01,2.000000e-01
8.076883e-01,2.400000e-01
2.547738e+00,2.800000e-01
4.222093e+01,3.200000e-01
1.095807e+01,3.600000e-01
1.821297e+00,4.000000e-01
7.385879e-01,4.400000e-01
4.050601e-01,4.800000e-01
2.588766e-01,5.200000e-01
1.814488e-01,5.600000e-01
1.352524e-01,6.000000e-01
1.053337e-01,6.400000e-01
8.476072e-02,6.800000e-01
6.995255e-02,7.200000e-01
5.890451e-02,7.600000e-01
5.041860e-02,8.000000e-01
4.374368e-02,8.400000e-01
3.838736e-02,8.800000e-01
3.401579e-02,9.200000e-01
3.039445e-02,9.600000e-01
6.274516e+01,1.000000e+00
2.479649e-02,1.040000e+00
2.259198e-02,1.080000e+00
2.069001e-02,1.120000e+00
1.903547e-02,1.160000e+00
1.758604e-02,1.200000e+00
1.630854e-02,1.240000e+00
1.517585e-02,1.280000e+00
1.416651e-02,1.320000e+00
1.326294e-02,1.360000e+00
1.245045e-02,1.400000e+00
1.171701e-02,1.440000e+00
1.105245e-02,1.480000e+00
1.044823e-02,1.520000e+00
9.897169e-03,1.560000e+00
9.393024e-03,1.600000e+00
8.930573e-03,1.640000e+00
8.505370e-03,1.680000e+00
8.113393e-03,1.720000e+00
7.751178e-03,1.760000e+00
7.415842e-03,1.800000e+00
7.104814e-03,1.840000e+00
6.815686e-03,1.880000e+00
6.546372e-03,1.920000e+00
6.295233e-03,1.960000e+00
6.060614e-03,2.000000e+00
5.841081e-03,2.040000e+00
5.635390e-03,2.080000e+00
5.442401e-03,2.120000e+00
5.261201e-03,2.160000e+00
5.090639e-03,2.200000e+00
4.930126e-03,2.240000e+00
4.778748e-03,2.280000e+00
4.635869e-03,2.320000e+00
4.500931e-03,2.360000e+00
4.373387e-03,2.400000e+00
4.252614e-03,2.440000e+00
4.138256e-03,2.480000e+00
4.029840e-03,2.520000e+00
3.926931e-03,2.560000e+00
3.829312e-03,2.600000e+00
3.736554e-03,2.640000e+00
3.648338e-03,2.680000e+00
3.564476e-03,2.720000e+00
3.484602e-03,2.760000e+00
3.408492e-03,2.800000e+00
3.336073e-03,2.840000e+00
3.267016e-03,2.880000e+00
3.201182e-03,2.920000e+00
3.138260e-03,2.960000e+00
3.078295e-03,3.000000e+00
3.020973e-03,3.040000e+00
2.966303e-03,3.080000e+00
2.914000e-03,3.120000e+00
2.864071e-03,3.160000e+00
2.816279e-03,3.200000e+00
2.770641e-03,3.240000e+00
2.727001e-03,3.280000e+00
2.685256e-03,3.320000e+00
2.645350e-03,3.360000e+00
