time, signal
5.098564e-09,-5.000000e+00
5.124574e-09,-4.960000e+00
5.172761e-09,-4.920000e+00
5.267903e-09,-4.880000e+00
5.399246e-09,-4.840000e+00
5.551568e-09,-4.800000e+00
5.827487e-09,-4.760000e+00
6.101508e-09,-4.720000e+00
6.447452e-09,-4.680000e+00
6.897124e-09,-4.640000e+00
7.493156e-09,-4.600000e+00
8.152877e-09,-4.560000e+00
9.171514e-09,-4.520000e+00
1.016417e-08,-4.480000e+00
1.157721e-08,-4.440000e+00
1.350272e-08,-4.400000e+00
1.605892e-08,-4.360000e+00
1.954249e-08,-4.320000e+00
2.469335e-08,-4.280000e+00
3.254768e-08,-4.240000e+00
4.546753e-08,-4.200000e+00
6.903687e-08,-4.160000e+00
1.195828e-07,-4.120000e+00
2.621981e-07,-4.080000e+00
1.024867e-06,-4.040000e+00
6.249984e+01,-4.000000e+00
9.838676e-07,-3.960000e+00
2.416341e-07,-3.920000e+00
1.058780e-07,-3.880000e+00
5.875888e-08,-3.840000e+00
3.706396e-08,-3.800000e+00
2.549255e-08,-3.760000e+00
1.857327e-08,-3.720000e+00
1.410263e-08,-3.680000e+00
1.112250e-08,-3.640000e+00
8.990159e-09,-3.600000e+00
7.360531e-09,-3.560000e+00
6.229666e-09,-3.520000e+00
5.365277e-09,-3.480000e+00
4.601910e-09,-3.440000e+00
4.052496e-09,-3.400000e+00
3.619455e-09,-3.360000e+00
3.222742e-09,-3.320000e+00
2.911734e-09,-3.280000e+00
2.632675e-09,-3.240000e+00
2.450526e-09,-3.200000e+00
2.281038e-09,-3.160000e+00
2.129261e-09,-3.120000e+00
1.998319e-09,-3.080000e+00
1.887642e-09,-3.040000e+00
1.805718e-09,-3.000000e+00
1.763176e-09,-2.960000e+00
1.676749e-09,-2.920000e+00
1.631768e-09,-2.880000e+00
1.603127e-09,-2.840000e+00
1.586543e-09,-2.800000e+00
1.609821e-09,-2.760000e+00
1.581685e-09,-2.720000e+00
1.609315e-09,-2.680000e+00
1.616669e-09,-2.640000e+00
1.674352e-09,-2.600000e+00
1.772560e-09,-2.560000e+00
1.946982e-09,-2.520000e+00
2.021574e-09,-2.480000e+00
2.192613e-09,-2.440000e+00
2.442374e-09,-2.400000e+00
2.765810e-09,-2.360000e+00
3.230642e-09,-2.320000e+00
3.869240e-09,-2.280000e+00
4.847764e-09,-2.240000e+00
6.474417e-09,-2.200000e+00
9.349431e-09,-2.160000e+00
1.539854e-08,-2.120000e+00
3.220511e-08,-2.080000e+00
1.198154e-07,-2.040000e+00
6.250019e+01,-2.000000e+00
1.039148e-07,-1.960000e+00
2.425743e-08,-1.920000e+00
1.005091e-08,-1.880000e+00
5.293897e-09,-1.840000e+00
3.182910e-09,-1.800000e+00
2.051764e-09,-1.760000e+00
1.429530e-09,-1.720000e+00
1.027920e-09,-1.680000e+00
7.570896e-10,-1.640000e+00
5.789672e-10,-1.600000e+00
4.517676e-10,-1.560000e+00
3.622324e-10,-1.520000e+00
2.744648e-10,-1.480000e+00
2.416455e-10,-1.440000e+00
1.895709e-10,-1.400000e+00
1.617022e-10,-1.360000e+00
1.427427e-10,-1.320000e+00
1.156140e-10,-1.280000e+00
1.055716e-10,-1.240000e+00
9.002486e-11,-1.200000e+00
7.816070e-11,-1.160000e+00
6.884687e-11,-1.120000e+00
6.120131e-11,-1.080000e+00
4.906175e-11,-1.040000e+00
4.612964e-11,-1.000000e+00
4.708750e-11,-9.600000e-01
3.488237e-11,-9.200000e-01
3.205453e-11,-8.800000e-01
3.002957e-11,-8.400000e-01
2.848681e-11,-8.000000e-01
2.323110e-11,-7.600000e-01
2.386089e-11,-7.200000e-01
2.169114e-11,-6.800000e-01
2.193910e-11,-6.400000e-01
1.837247e-11,-6.000000e-01
1.682371e-11,-5.600000e-01
2.539956e-11,-5.200000e-01
1.632546e-11,-4.800000e-01
1.423462e-11,-4.400000e-01
1.579173e-11,-4.000000e-01
1.455674e-11,-3.600000e-01
1.397077e-11,-3.200000e-01
1.251563e-11,-2.800000e-01
1.284384e-11,-2.400000e-01
1.115479e-11,-2.000000e-01
1.286584e-11,-1.600000e-01
1.168716e-11,-1.200000e-01
1.036901e-11,-8.000000e-02
1.112473e-11,-4.000000e-02
8.836000e-12,0.000000e+00
1.112473e-11,4.000000e-02
1.036901e-11,8.000000e-02
1.168716e-11,1.200000e-01
1.286584e-11,1.600000e-01
1.115479e-11,2.000000e-01
1.284384e-11,2.400000e-01
1.251563e-11,2.800000e-01
1.397077e-11,3.200000e-01
1.455674e-11,3.600000e-01
1.579173e-11,4.000000e-01
1.423462e-11,4.400000e-01
1.632546e-11,4.800000e-01
2.539956e-11,5.200000e-01
1.682371e-11,5.600000e-01
1.837247e-11,6.000000e-01
2.193910e-11,6.400000e-01
2.169114e-11,6.800000e-01
2.386089e-11,7.200000e-01
2.323110e-11,7.600000e-01
2.848681e-11,8.000000e-01
3.002957e-11,8.400000e-01
3.205453e-11,8.800000e-01
3.488237e-11,9.200000e-01
4.708750e-11,9.600000e-01
4.612964e-11,1.000000e+00
4.906175e-11,1.040000e+00
6.120131e-11,1.080000e+00
6.884687e-11,1.120000e+00
7.816070e-11,1.160000e+00
9.002486e-11,1.200000e+00
1.055716e-10,1.240000e+00
1.156140e-10,1.280000e+00
1.427427e-10,1.320000e+00
1.617022e-10,1.360000e+00
1.895709e-10,1.400000e+00
2.416455e-10,1.440000e+00
2.744648e-10,1.480000e+00
3.622324e-10,1.520000e+00
4.517676e-10,1.560000e+00
5.789672e-10,1.600000e+00
7.570896e-10,1.640000e+00
1.027920e-09,1.680000e+00
1.429530e-09,1.720000e+00
2.051764e-09,1.760000e+00
3.182910e-09,1.800000e+00
5.293897e-09,1.840000e+00
1.005091e-08,1.880000e+00
2.425743e-08,1.920000e+00
1.039148e-07,1.960000e+00
6.250019e+01,2.000000e+00
1.198154e-07,2.040000e+00
3.220511e-08,2.080000e+00
1.539854e-08,2.120000e+00
9.349431e-09,2.160000e+00
6.474417e-09,2.200000e+00
4.847764e-09,2.240000e+00
3.869240e-09,2.280000e+00
3.230642e-09,2.320000e+00
2.765810e-09,2.360000e+00
2.442374e-09,2.400000e+00
2.192613e-09,2.440000e+00
2.021574e-09,2.480000e+00
1.946982e-09,2.520000e+00
1.772560e-09,2.560000e+00
1.674352e-09,2.600000e+00
1.616669e-09,2.640000e+00
1.609315e-09,2.680000e+00
1.581685e-09,2.720000e+00
1.609821e-09,2.760000e+00
1.586543e-09,2.800000e+00
1.603127e-09,2.840000e+00
1.631768e-09,2.880000e+00
1.676749e-09,2.920000e+00
1.763176e-09,2.960000e+00
1.805718e-09,3.000000e+00
1.887642e-09,3.040000e+00
1.998319e-09,3.080000e+00
2.129261e-09,3.120000e+00
2.281038e-09,3.160000e+00
2.450526e-09,3.200000e+00
2.632675e-09,3.240000e+00
2.911734e-09,3.280000e+00
3.222742e-09,3.320000e+00
3.619455e-09,3.360000e+00
4.052496e-09,3.400000e+00
4.601910e-09,3.440000e+00
5.365277e-09,3.480000e+00
6.229666e-09,3.520000e+00
7.360531e-09,3.560000e+00
8.990159e-09,3.600000e+00
1.112250e-08,3.640000e+00
1.410263e-08,3.680000e+00
1.857327e-08,3.720000e+00
2.549255e-08,3.760000e+00
3.706396e-08,3.800000e+00
5.875888e-08,3.840000e+00
1.058780e-07,3.880000e+00
2.416341e-07,3.920000e+00
9.838676e-07,3.960000e+00
6.249984e+01,4.000000e+00
1.024867e-06,4.040000e+00
2.621981e-07,4.080000e+00
1.195828e-07,4.120000e+00
6.903687e-08,4.160000e+00
4.546753e-08,4.200000e+00
3.254768e-08,4.240000e+00
2.469335e-08,4.280000e+00
1.954249e-08,4.320000e+00
1.605892e-08,4.360000e+00
1.350272e-08,4.400000e+00
1.157721e-08,4.440000e+00
1.016417e-08,4.480000e+00
9.171514e-09,4.520000e+00
8.152877e-09,4.560000e+00
7.493156e-09,4.600000e+00
6.897124e-09,4.640000e+00
6.447452e-09,4.680000e+00
6.101508e-09,4.720000e+00
5.827487e-09,4.760000e+00
5.551568e-09,4.800000e+00
5.399246e-09,4.840000e+00
5.267903e-09,4.880000e+00
5.172761e-09,4.920000e+00
5.124574e-09,4.960000e+00
