time, signal
0.000000,2.000000
0.100000,-0.500001
0.200000,-0.499993
0.300000,-0.500011
0.400000,-0.499997
0.500000,2.000000
0.600000,-0.500005
0.700000,-0.499974
0.800000,-0.500029
0.900000,-0.499992
1.000000,2.000000
1.100000,-0.500009
1.200000,-0.499956
1.300000,-0.500047
1.400000,-0.499988
1.500000,2.000000
1.600000,-0.500014
1.700000,-0.499938
1.800000,-0.500066
1.900000,-0.499984
2.000000,2.000000
2.100000,-0.500018
2.200000,-0.499920
2.300000,-0.500084
2.400000,-0.499979
2.500000,2.000000
2.600000,-0.500022
2.700000,-0.499901
2.800000,-0.500102
2.900000,-0.499975
3.000000,2.000000
3.100000,-0.500027
3.200000,-0.499883
3.300000,-0.500121
3.400000,-0.499971
3.500000,2.000000
3.600000,-0.500031
3.700000,-0.499865
3.800000,-0.500139
3.900000,-0.499966
4.000000,2.000000
4.100000,-0.500035
4.200000,-0.499847
4.300000,-0.500157
4.400000,-0.499962
4.500000,2.000000
4.600000,-0.500040
4.700000,-0.499828
4.800000,-0.500175
4.900000,-0.499958
5.000000,2.000000
5.100000,-0.500044
5.200000,-0.499810
5.300000,-0.500194
5.400000,-0.499953
5.500000,2.000000
5.600000,-0.500048
5.700000,-0.499792
5.800000,-0.500212
5.900000,-0.499949
6.000000,2.000000
6.100000,-0.500053
6.200000,-0.499774
6.300000,-0.500230
6.400000,-0.499945
6.500000,2.000000
6.600000,-0.500057
6.700000,-0.499755
6.800000,-0.500248
6.900000,-0.499940
7.000000,2.000000
7.100000,-0.500061
7.200000,-0.499737
7.300000,-0.500267
7.400000,-0.499936
7.500000,2.000000
7.600000,-0.500066
7.700000,-0.499719
7.800000,-0.500285
7.900000,-0.499932
8.000000,2.000000
8.100000,-0.500070
8.200000,-0.499701
8.300000,-0.500303
8.400000,-0.499928
8.500000,2.000000
8.600000,-0.500074
8.700000,-0.499682
8.800000,-0.500321
8.900000,-0.499923
9.000000,2.000000
9.100000,-0.500078
9.200000,-0.499664
9.300000,-0.500340
9.400000,-0.499919
9.500000,2.000000
9.600000,-0.500083
9.700000,-0.499646
9.800000,-0.500358
9.900000,-0.499915
10.000000,2.000000
10.100000,-0.500087
10.200000,-0.499627
10.300000,-0.500376
10.400000,-0.499910
10.500000,2.000000
10.600000,-0.500091
10.700000,-0.499609
10.800000,-0.500394
10.900000,-0.499906
11.000000,2.000000
11.100000,-0.500096
11.200000,-0.499591
11.300000,-0.500413
11.400000,-0.499902
11.500000,2.000000
11.600000,-0.500100
11.700000,-0.499573
11.800000,-0.500431
11.900000,-0.499897
12.000000,2.000000
12.100000,-0.500104
12.200000,-0.499554
12.300000,-0.500449
12.400000,-0.499893
12.500000,2.000000
12.600000,-0.500109
12.700000,-0.499536
12.800000,-0.500468
12.900000,-0.499889
13.000000,2.000000
13.100000,-0.500113
13.200000,-0.499518
13.300000,-0.500486
13.400000,-0.499884
13.500000,2.000000
13.600000,-0.500117
13.700000,-0.499500
13.800000,-0.500504
13.900000,-0.499880
14.000000,2.000000
14.100000,-0.500121
14.200000,-0.499481
14.300000,-0.500522
14.400000,-0.499876
14.500000,2.000000
14.600000,-0.500126
14.700000,-0.499463
14.800000,-0.500541
14.900000,-0.499871
15.000000,2.000000
15.100000,-0.500130
15.200000,-0.499445
15.300000,-0.500559
15.400000,-0.499867
15.500000,2.000000
15.600000,-0.500134
15.700000,-0.499427
15.800000,-0.500577
15.900000,-0.499863
16.000000,2.000000
16.100000,-0.500139
16.200000,-0.499408
16.300000,-0.500595
16.400000,-0.499858
16.500000,2.000000
16.600000,-0.500143
16.700000,-0.499390
16.800000,-0.500614
16.900000,-0.499854
17.000000,2.000000
17.100000,-0.500147
17.200000,-0.499372
17.300000,-0.500632
17.400000,-0.499850
17.500000,2.000000
17.600000,-0.500152
17.700000,-0.499354
17.800000,-0.500650
17.900000,-0.499846
18.000000,2.000000
18.100000,-0.500156
18.200000,-0.499335
18.300000,-0.500668
18.400000,-0.499841
18.500000,2.000000
18.600000,-0.500160
18.700000,-0.499317
18.800000,-0.500687
18.900000,-0.499837
19.000000,2.000000
19.100000,-0.500165
19.200000,-0.499299
19.300000,-0.500705
19.400000,-0.499833
19.500000,2.000000
19.600000,-0.500169
19.700000,-0.499281
19.800000,-0.500723
19.900000,-0.499828
20.000000,2.000000
20.100000,-0.500173
20.200000,-0.499262
20.300000,-0.500741
20.400000,-0.499824
20.500000,2.000000
20.600000,-0.500177
20.700000,-0.499244
20.800000,-0.500760
20.900000,-0.499820
21.000000,2.000000
21.100000,-0.500182
21.200000,-0.499226
21.300000,-0.500778
21.400000,-0.499815
21.500000,2.000000
21.600000,-0.500186
21.700000,-0.499207
21.800000,-0.500796
21.900000,-0.499811
22.000000,2.000000
22.100000,-0.500190
22.200000,-0.499189
22.300000,-0.500815
22.400000,-0.499807
22.500000,2.000000
22.600000,-0.500195
22.700000,-0.499171
22.800000,-0.500833
22.900000,-0.499802
23.000000,2.000000
23.100000,-0.500199
23.200000,-0.499153
23.300000,-0.500851
23.400000,-0.499798
23.500000,2.000000
23.600000,-0.500203
23.700000,-0.499134
23.800000,-0.500869
23.900000,-0.499794
24.000000,2.000000
24.100000,-0.500208
24.200000,-0.499116
24.300000,-0.500888
24.400000,-0.499789
24.500000,2.000000
24.600000,-0.500212
24.700000,-0.499098
24.800000,-0.500906
24.900000,-0.499785
